parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
93,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,1,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
108,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
109,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
110,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
111,1,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
112,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
113,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
114,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
115,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
116,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
117,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
118,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
119,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
120,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
